AIRPORT,count
Ted Stevens Anchorage International Airport,7
Denver International Airport,2
Fairbanks International Airport,1
McCarran International Airport,9
Los Angeles International Airport,6
Minneapolis-Saint Paul International Airport,1
Plattsburgh International Airport,1
Portland International Airport,1
Phoenix Sky Harbor International Airport,2
Seattle-Tacoma International Airport,3
San Francisco International Airport,4
Luis Muñoz Marín International Airport,2
Salt Lake City International Airport,2
