AIRPORT,count
Phoenix Sky Harbor International Airport,4.0
Fairbanks International Airport,2.0
McCarran International Airport,18.0
Salt Lake City International Airport,4.0
Ted Stevens Anchorage International Airport,14.0
Luis Muñoz Marín International Airport,4.0
Seattle-Tacoma International Airport,6.0
Los Angeles International Airport,12.0
San Francisco International Airport,8.0
Denver International Airport,4.0
Minneapolis-Saint Paul International Airport,1.0
Portland International Airport,1.0
Plattsburgh International Airport,1.0
